timestamp,command,ok,value_or_error
2026-03-23 10:27:28,FUNC?,True,SIN
2026-03-23 10:27:28,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:28,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:28,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:28,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:28,OUTP1?,True,0
2026-03-23 10:27:28,SYST:ERR?,True,"-310,""System error"""
2026-03-23 10:27:28,FUNC?,True,SIN
2026-03-23 10:27:28,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:28,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:28,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:28,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:28,OUTP1?,True,0
2026-03-23 10:27:28,SYST:ERR?,True,"-420,""Query UNTERMINATED"""
2026-03-23 10:27:29,FUNC?,True,SIN
2026-03-23 10:27:29,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:29,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:29,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:29,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:29,OUTP1?,True,0
2026-03-23 10:27:29,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:30,FUNC?,True,SIN
2026-03-23 10:27:30,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:30,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:30,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:30,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:30,OUTP1?,True,0
2026-03-23 10:27:30,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:31,FUNC?,True,SIN
2026-03-23 10:27:31,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:31,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:31,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:31,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:31,OUTP1?,True,0
2026-03-23 10:27:31,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:32,FUNC?,True,SIN
2026-03-23 10:27:32,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:32,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:32,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:32,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:32,OUTP1?,True,0
2026-03-23 10:27:32,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:33,FUNC?,True,SIN
2026-03-23 10:27:33,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:33,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:33,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:33,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:33,OUTP1?,True,0
2026-03-23 10:27:33,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:34,FUNC?,True,SIN
2026-03-23 10:27:34,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:34,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:34,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:34,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:34,OUTP1?,True,0
2026-03-23 10:27:34,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:35,FUNC?,True,SIN
2026-03-23 10:27:35,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:35,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:35,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:35,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:35,OUTP1?,True,0
2026-03-23 10:27:35,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:35,FUNC?,True,SIN
2026-03-23 10:27:35,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:35,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:35,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:35,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:35,OUTP1?,True,0
2026-03-23 10:27:35,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:36,FUNC?,True,SIN
2026-03-23 10:27:36,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:36,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:36,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:36,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:36,OUTP1?,True,0
2026-03-23 10:27:36,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:37,FUNC?,True,SIN
2026-03-23 10:27:37,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:37,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:37,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:37,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:37,OUTP1?,True,0
2026-03-23 10:27:37,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:38,FUNC?,True,SIN
2026-03-23 10:27:38,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:38,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:38,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:38,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:38,OUTP1?,True,0
2026-03-23 10:27:38,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:39,FUNC?,True,SIN
2026-03-23 10:27:39,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:39,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:39,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:39,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:39,OUTP1?,True,0
2026-03-23 10:27:39,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:40,FUNC?,True,SIN
2026-03-23 10:27:40,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:40,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:40,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:40,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:40,OUTP1?,True,0
2026-03-23 10:27:40,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:41,FUNC?,True,SIN
2026-03-23 10:27:41,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:41,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:41,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:41,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:41,OUTP1?,True,0
2026-03-23 10:27:41,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:41,FUNC?,True,SIN
2026-03-23 10:27:41,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:41,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:41,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:41,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:41,OUTP1?,True,0
2026-03-23 10:27:41,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:42,FUNC?,True,SIN
2026-03-23 10:27:42,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:42,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:42,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:42,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:42,OUTP1?,True,0
2026-03-23 10:27:42,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:43,FUNC?,True,SIN
2026-03-23 10:27:43,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:43,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:43,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:43,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:43,OUTP1?,True,0
2026-03-23 10:27:43,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:44,FUNC?,True,SIN
2026-03-23 10:27:44,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:44,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:44,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:44,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:44,OUTP1?,True,0
2026-03-23 10:27:44,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:45,FUNC?,True,SIN
2026-03-23 10:27:45,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:45,VOLT?,True,+1.0000000000000E-01
2026-03-23 10:27:45,VOLT:OFFSET?,True,+0.0000000000000E+00
2026-03-23 10:27:45,PHAS?,True,+0.0000000000000E+00
2026-03-23 10:27:45,OUTP1?,True,0
2026-03-23 10:27:45,SYST:ERR?,True,"+0,""No error"""
2026-03-23 10:27:46,FUNC?,True,SIN
2026-03-23 10:27:46,FREQ?,True,+1.000000000000000E+03
2026-03-23 10:27:46,VOLT?,True,+1.0000000000000E-01
